Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
orion,Orion,"<p>オリオンは芸術的なフォックス型フルリムデザインで、チタン製のメガネ。ミラー脚もチタン製で軽量であり、フレームの形は目を引き立てる。高級感と耐久性を兼ね備えたプレミアムな眼鏡です。</p>
",Primeparticle,,眼镜框,Eyeglasses,TRUE,カラー,ブラック,,,,,JMM90RX-C1,18,shopify,1,deny,manual,5660.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM90RXX10-C1-2_da3119d0-69d7-4ace-beb2-fac8e1eca728.jpg?v=1725012146,1,Orion,FALSE,Orion | Primeparticle,オリオンは芸術的なフォックス型フルリムデザインで、チタン製のメガネ。ミラー脚もチタン製で軽量であり、フレームの形は目を引き立てる。高級感と耐久性を兼ね備えたプレミアムな眼鏡です。,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM90RXX10-C1-2_da3119d0-69d7-4ace-beb2-fac8e1eca728.jpg?v=1725012146,,,,,,active
orion,,,,,,,,,ウィローグリーン,,,,,JMM90RX-C10,18,shopify,1,deny,manual,5660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM90RXX10-C47-2_953268e1-f8ad-4898-b1ab-d6047368f167.jpg?v=1725012151,,,,,,active
orion,,,,,,,,,プルシャンブルー,,,,,JMM90RX-C50,18,shopify,1,deny,manual,5660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM90RXX10-C50-2_153e13fd-8765-4dbb-8c73-962049702a81.jpg?v=1725012234,,,,,,active
orion,,,,,,,,,マウスグレー,,,,,JMM90RX-C80,18,shopify,1,deny,manual,5660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM90RXX10-C80-2.jpg?v=1725012242,,,,,,active
orion,,,,,,,,,べっ甲柄,,,,,JMM90RX-C95,18,shopify,1,deny,manual,5660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM90RXX10-C95-2.jpg?v=1725012411,,,,,,active
elysian,Elysian,<p>エレガントで高級感のあるElysianは、アセテート素材のメガネをお探しの方に最適です。スクエアのフルリム形状とミラー脚のアセテート素材で、芸術や文学、ファッションの世界を彷彿とさせる独自の雰囲気を演出します。</p>,Primeparticle,,眼镜框,Eyeglasses,TRUE,カラー,ブラック,,,,,JMM303LX-C1,41,shopify,1,deny,manual,6660.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/58-JMM303LXX10-C1-2.jpg?v=1725009828,1,Elysian,FALSE,Elysian | Primeparticle,エレガントで高級感のあるElysianは、アセテート素材のメガネをお探しの方に最適です。スクエアのフルリム形状とミラー脚のアセテート素材で、芸術や文学、ファッションの世界を彷彿とさせる独自の雰囲気を演出します。,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/58-JMM303LXX10-C1-2.jpg?v=1725009828,,,,,,active
elysian,,,,,,,,,クリア,,,,,JMM303LX-C6,41,shopify,1,deny,manual,6660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/58-JMM303LXX10-C6-2.jpg?v=1725009843,,,,,,active
elysian,,,,,,,,,マウスグレー,,,,,JMM303LX-C9,41,shopify,1,deny,manual,6660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/58-JMM303LXX10-C9-2.jpg?v=1725009871,,,,,,active
elysian,,,,,,,,,アイビーグリーン,,,,,JMM303LX-C93,41,shopify,1,deny,manual,6660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/58-JMM303LXX10-C93-2.jpg?v=1725010099,,,,,,active
elysian,,,,,,,,,べっ甲柄,,,,,JMM303LX-C94,41,shopify,1,deny,manual,6660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/58-JMM303LXX10-C94-2.jpg?v=1725010108,,,,,,active
eluned,Eluned,<p>フルリムのスクエア形状のメガネで、フレームとミラー脚にはアセテート素材を使用。耐久性に優れ、スタイリッシュなデザインでファッションアイテムとしてもおすすめ。ミラー脚は光を反射し、視界を明るく保ちます。</p>,Primeparticle,,眼镜框,Eyeglasses,TRUE,カラー,ブラック,,,,,JMM81RX-C1,37,shopify,1,deny,manual,6660.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM81RXX12-C1-2.jpg?v=1724913495,1,Eluned,FALSE,Eluned | Primeparticle,フルリムのスクエア形状のメガネで、フレームとミラー脚にはアセテート素材を使用。耐久性に優れ、スタイリッシュなデザインでファッションアイテムとしてもおすすめ。ミラー脚は光を反射し、視界を明るく保ちます。,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM81RXX12-C1-2.jpg?v=1724913495,,,,,,active
eluned,,,,,,,,,クリア,,,,,JMM81RX-C5,37,shopify,1,deny,manual,6660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM81RXX12-C5-2.jpg?v=1724913508,,,,,,active
eluned,,,,,,,,,グレー,,,,,JMM81RX-C6,37,shopify,1,deny,manual,6660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM81RXX12-C6-2.jpg?v=1724913525,,,,,,active
eluned,,,,,,,,,スチールグレー,,,,,JMM81RX-C62,37,shopify,1,deny,manual,6660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM81RXX12-C62-2.jpg?v=1724913538,,,,,,active
eluned,,,,,,,,,ウィローグリーン,,,,,JMM81RX-C73,37,shopify,1,deny,manual,6660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM81RXX12-C73-2.jpg?v=1724913543,,,,,,active
eluned,,,,,,,,,べっ甲柄,,,,,JMM81RX-C75,37,shopify,1,deny,manual,6660.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/0964/1745/files/JMM81RXX12-C75-2.jpg?v=1724913557,,,,,,active
