Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
parim-pg83418-k2-basic-lens,PARIM PG83418 K2 - Basic Lens (1.56 Index),<p>Standard CR-39 lens with 1.56 refractive index. Ideal for mild prescriptions. Includes anti-scratch coating.</p>,Ukoptica,,镜片,lensflow-lens,TRUE,Prescription Type,Non-Prescription,Coating,None,,,parim-pg83418-k2-basic-lens-non-prescription-none,0,shopify,1,deny,manual,0.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
parim-pg83418-k2-basic-lens,,,,,,,,,Non-Prescription,,Anti-Scratch,,,parim-pg83418-k2-basic-lens-non-prescription-anti-scratch,0,shopify,1,deny,manual,50.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
parim-pg83418-k2-basic-lens,,,,,,,,,Single Vision,,None,,,parim-pg83418-k2-basic-lens-single-vision-none,0,shopify,1,deny,manual,80.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
parim-pg83418-k2-basic-lens,,,,,,,,,Single Vision,,Anti-Scratch,,,parim-pg83418-k2-basic-lens-single-vision-anti-scratch,0,shopify,1,deny,manual,130.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
parim-pg83418-k2-basic-lens,,,,,,,,,Reading,,None,,,parim-pg83418-k2-basic-lens-reading-none,0,shopify,1,deny,manual,80.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
parim-pg83418-k2-basic-lens,,,,,,,,,Reading,,Anti-Scratch,,,parim-pg83418-k2-basic-lens-reading-anti-scratch,0,shopify,1,deny,manual,130.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
parim-pg83418-k2-pro-lens,PARIM PG83418 K2 - Pro Lens (1.67 High Index),<p>High-index 1.67 lens with blue light filter. Thinner and lighter than standard lenses. Ideal for moderate to strong prescriptions.</p>,Ukoptica,,镜片,lensflow-lens,TRUE,Prescription Type,Non-Prescription,Coating,Blue Light Filter,,,parim-pg83418-k2-pro-lens-non-prescription-blue-light-filter,0,shopify,1,deny,manual,80.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
parim-pg83418-k2-pro-lens,,,,,,,,,Non-Prescription,,Anti-Scratch+Blue Light,,,parim-pg83418-k2-pro-lens-non-prescription-anti-scratch+blue-light,0,shopify,1,deny,manual,150.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
parim-pg83418-k2-pro-lens,,,,,,,,,Single Vision,,Blue Light Filter,,,parim-pg83418-k2-pro-lens-single-vision-blue-light-filter,0,shopify,1,deny,manual,180.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
parim-pg83418-k2-pro-lens,,,,,,,,,Single Vision,,Anti-Scratch+Blue Light,,,parim-pg83418-k2-pro-lens-single-vision-anti-scratch+blue-light,0,shopify,1,deny,manual,250.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
